t_start,t_end,n_ids_present,mean_distance,cluster_count,triad_count_total,triad_count_sig,triad_S_sum,triad_S_mean,triad_S_sig_sum,TriadState,FragState
180000.0,181800.0,8,5628.7597759467635,2,0,0,,,,0,0
180600.0,182400.0,8,5735.773410690078,2,0,0,,,,0,0
181200.0,183000.0,8,5725.046899416142,2,0,0,,,,0,0
181800.0,183600.0,8,5703.689178935907,2,0,0,,,,0,0
182400.0,184200.0,8,5678.073605203038,2,0,0,,,,0,0
183000.0,184800.0,8,5668.407654619757,2,0,0,,,,0,0
183600.0,185400.0,8,5667.74356408195,2,0,0,,,,0,0
184200.0,186000.0,8,5672.4879600880295,2,0,0,,,,0,0
184800.0,186600.0,8,5677.046820610552,2,0,0,,,,0,0
185400.0,187200.0,8,5697.256698651855,2,0,0,,,,0,0
186000.0,187800.0,8,5725.296001107435,2,0,0,,,,0,0
186600.0,188400.0,8,5750.9074613467255,2,0,0,,,,0,0
187200.0,189000.0,8,5761.2747268628245,2,0,0,,,,0,0
187800.0,189600.0,8,5757.64039867426,2,0,0,,,,0,0
188400.0,190200.0,8,5739.3555761458365,2,0,0,,,,0,0
189000.0,190800.0,8,5725.491280401598,2,0,0,,,,0,0
189600.0,191400.0,8,5727.041279482837,2,0,0,,,,0,0
190200.0,192000.0,8,5742.995575525286,2,0,0,,,,0,0
190800.0,192600.0,8,5755.59241182984,2,0,0,,,,0,0
191400.0,193200.0,8,5754.669516687357,2,0,0,,,,0,0
192000.0,193800.0,8,5715.280618688594,2,0,0,,,,0,0
192600.0,194400.0,8,5666.045814829203,2,0,0,,,,0,0
193200.0,195000.0,8,5610.755499028861,2,0,0,,,,0,0
193800.0,195600.0,8,5587.367768056006,2,0,0,,,,0,0
194400.0,196200.0,8,5582.610496985678,2,0,0,,,,0,0
195000.0,196800.0,8,5595.185010546077,2,0,0,,,,0,0
195600.0,197400.0,8,5607.803341679775,2,0,0,,,,0,0
196200.0,198000.0,8,5625.892458367795,2,0,0,,,,0,0
196800.0,198600.0,8,5641.708097318862,2,0,0,,,,0,0
197400.0,199200.0,8,5646.413777827614,2,0,0,,,,0,0
198000.0,199800.0,8,5636.617518035686,2,0,0,,,,0,0
198600.0,200400.0,8,5636.9797449636535,2,0,0,,,,0,0
199200.0,201000.0,8,5647.673758744734,2,0,0,,,,0,0
199800.0,201600.0,8,5632.177593750088,2,0,0,,,,0,0
200400.0,202200.0,8,5454.498414253816,2,0,0,,,,0,0
201000.0,202800.0,8,5335.823379264969,2,0,0,,,,0,0
201600.0,203400.0,8,5285.57331372172,2,0,0,,,,0,0
202200.0,204000.0,8,5291.1673478217035,2,0,0,,,,0,0
202800.0,204600.0,8,5296.781083116699,2,0,0,,,,0,0
203400.0,205200.0,8,5295.7874886744,2,0,0,,,,0,0
204000.0,205800.0,8,5266.467927079744,2,0,0,,,,0,0
204600.0,206400.0,8,5335.5091233397425,2,0,0,,,,0,0
205200.0,207000.0,8,5402.852081193787,2,0,0,,,,0,0
205800.0,207600.0,8,5448.943591370437,2,0,0,,,,0,0
206400.0,208200.0,8,5486.577066801857,2,0,0,,,,0,0
207000.0,208800.0,8,5635.499478388813,2,0,0,,,,0,0
207600.0,209400.0,8,5853.198782455516,2,0,0,,,,0,0
208200.0,210000.0,8,5951.979776946408,2,0,0,,,,0,0
208800.0,210600.0,8,5994.299243000445,2,0,0,,,,0,0
209400.0,211200.0,8,6041.8232860397475,2,0,0,,,,0,0
210000.0,211800.0,8,6082.9288786884845,2,0,0,,,,0,0
210600.0,212400.0,8,6086.995001536211,2,0,0,,,,0,0
211200.0,213000.0,8,6082.284320378491,2,0,0,,,,0,0
211800.0,213600.0,8,6088.711760593263,2,0,0,,,,0,0
212400.0,214200.0,8,6081.796323973856,2,0,0,,,,0,0
213000.0,214800.0,8,6070.479903163342,2,0,0,,,,0,0
213600.0,215400.0,8,6059.107336153972,2,0,0,,,,0,0
214200.0,216000.0,8,6245.593158728296,2,0,0,,,,0,0
214800.0,216600.0,8,6343.054729498425,2,0,0,,,,0,0
215400.0,217200.0,8,6338.163097456723,2,0,0,,,,0,0
216000.0,217800.0,8,6161.831438740841,2,0,0,,,,0,0
216600.0,218400.0,8,6085.080460323459,2,0,0,,,,0,0
217200.0,219000.0,8,6086.659970181433,2,0,0,,,,0,0
217800.0,219600.0,8,6085.385705235911,2,0,0,,,,0,0
218400.0,220200.0,8,6082.122118271166,2,0,0,,,,0,0
219000.0,220800.0,8,6078.4684606685505,2,0,0,,,,0,0
219600.0,221400.0,8,6074.425740996415,2,0,0,,,,0,0
220200.0,222000.0,8,6072.148439821254,2,0,0,,,,0,0
220800.0,222600.0,8,6076.631062845516,2,0,0,,,,0,0
221400.0,223200.0,8,6082.5830015506235,2,0,0,,,,0,0
